year,gpr,gscpi,avg_hhi,avg_price_vol,global_renewables_share,semiconductor_capex_intensity,hyperscaler_capex_intensity,energy_capex_intensity,mining_capex_intensity
2010,84.17017555236818,0.25720177856347665,0.3795323599741923,597.8246827470404,11.126848101265823,0.04786370460485682,0.02980140057640328,0.2651692048639035,
2011,90.0953877766927,0.3353008035666358,0.40845127672645704,850.4806517959224,10.875987499999999,0.05035769200735112,0.10193955796120883,0.745947855328435,
2012,81.47523371378583,-0.269704098251398,0.3983487184149663,582.2961553971638,11.2170625,0.06639060729213415,,1.464210079918311,
2013,83.03660519917806,-0.5083289764598896,0.38523458349104517,394.2863244224025,11.9235375,0.10843895924420467,0.13253120553324088,0.14486453330403348,
2014,100.29158528645827,-0.6777842367901136,0.38315914568167214,336.79943118014137,12.14085,0.048359747244473034,0.22007085052584247,0.25538752994851815,
2015,105.95364507039386,-0.5001246612356183,0.37880563450574484,517.4681169614147,12.2998625,0.03668522644428274,0.21610089297234814,0.45674245493101095,
2016,98.67868804931636,-0.3710918076929235,0.3609654686352118,359.74664444058385,12.3994125,0.06833787545127627,0.12148936733219877,0.1774114648903862,0.07345502003396828
2017,107.37731170654301,0.3089708726651407,0.3996726420670163,299.3001387228123,12.6078625,0.11122101593356934,0.12697889990440686,0.2685861060098352,0.13985584137506227
2018,98.5529073079427,0.4453341305373866,0.39937807502047684,323.946143099152,13.1538375,0.12499522821291459,0.15998759556624817,0.1384410299832979,0.3258313904788572
2019,90.94625282287596,-0.04232247087157764,0.4094815761392825,359.8582038559932,13.361949999999998,0.2158791861553769,0.18864602789525844,0.10938457146202943,0.41457335889595565
2020,77.29380416870116,1.6641172374514444,0.41464993201848904,417.757704473711,15.11215,0.14032810879004204,0.25106627762998135,0.16281486242849055,0.34668658850723727
2021,82.07023620605467,3.100648351816126,0.42014943670651683,879.8701729945849,15.270237499999999,0.20900560023093254,0.1141111978914026,0.10622946733379078,0.45050212978487336
2022,157.58319346110025,2.217108044104796,0.4293733427170548,1258.9414615716637,15.45075,0.3405548463236525,0.0512348769780738,0.08078643219950087,0.24015972494373122
