year,gpr,avg_hhi,semi_capex,regime
2010,84.17017555236818,0.3795323599741923,0.04786370460485682,Stable
2011,90.0953877766927,0.40845127672645704,0.05035769200735112,Structural Concentration
2012,81.47523371378583,0.3983487184149663,0.06639060729213415,Stable
2013,83.03660519917806,0.38523458349104517,0.10843895924420467,Stable
2014,100.29158528645827,0.38315914568167214,0.048359747244473034,Geopolitical Pressure
2015,105.95364507039386,0.37880563450574484,0.03668522644428274,Geopolitical Pressure
2016,98.67868804931636,0.3609654686352118,0.06833787545127627,Geopolitical Pressure
2017,107.37731170654301,0.3996726420670163,0.11122101593356934,Double Risk
2018,98.5529073079427,0.39937807502047684,0.12499522821291459,Geopolitical Pressure
2019,90.94625282287596,0.4094815761392825,0.2158791861553769,Structural Concentration
2020,77.29380416870116,0.41464993201848904,0.14032810879004204,Structural Concentration
2021,82.07023620605467,0.42014943670651683,0.20900560023093254,Structural Concentration
2022,157.58319346110025,0.4293733427170548,0.3405548463236525,Double Risk
