shock_count,median_forward_change,p25_forward_change,p75_forward_change,response_col
15.0,-1.6370000000000005,-3.3325000000000005,1.0045000000000002,price_silver
15.0,-2.1099999999999,-356.345,48.58999999999992,price_aluminum
15.0,-7.7999999999999545,-86.01999999999998,114.91499999999996,price_gold
15.0,-11.829999999999998,-17.196999999999996,0.7449999999999903,price_iron_ore
15.0,-49.73000000000002,-119.95500000000004,16.239999999999952,price_platinum
15.0,-73.76999999999998,-248.19499999999994,128.99,price_zinc
15.0,-99.0300000000002,-192.89499999999998,72.08500000000004,price_lead
15.0,-375.90000000000055,-769.6300000000001,191.4949999999999,price_copper
15.0,-1702.8500000000004,-3797.3499999999995,2293.665000000001,price_nickel
15.0,-2197.579999999998,-6642.605,-49.31500000000051,price_tin
